job_title,company_name,location,employment_type,posted_date,job_description,job_url,source,department,skills,extracted_at
"Assistant Director (Accounts)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Accounts) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 2 Employment Status Full Time Role Assistant Director (Accounts) Monthly Salary 135,000 - 140,000 Job Posted 19-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 19 Mar Assistant Director (Accounts) Job Description Chartered Accountant (CA) / Chartered Management Accountant (CMA) with 2-year relevant experience. Or MBA (Finance), M. Com or equivalent from HEC recognized University with 3 years of relevant experience. Job Responsibilities Compile payroll data and verify employee attendance and leave records for salary processing. Assist in generating pay slips, bank transfer letters, and employee earnings/deductions reports. Record all supporting documents related to payroll transactions. Maintain up-to-date service books, pay history files, and confidential salary records. Follow up on bank confirmations, tax filings, and provident fund contributions. Ensure timely processing of contractual staff payments and TA/DA claims. Degree Level Masters/Bachelors (Hons) (16 years) Years of Education Degree Area Business Administration Commerce Accountancy/Chartered Accountancy Accountancy/Chartered Accountancy 1 Important Note Domicile is required for this position. For Getting Domicile at home through flagship initiative of Government of Punjab, Call 1202 or download the Dastak Doorstep Delivery App now! Google Play Store | Apple App Store | Web Portal Apply for this Job View Advertisement Sitemap Home Jobs FAQ's Departmental Contacts Career Center Interview Guides Job Search Guides Career Development Career News Contact Us +92 42 35880062 Ext:1222 jobsonlinesupport@punjab.gov.pk × Register Email Address Please enter email Invalid email Password Please enter password Password must be between 8 and 32 characters long Password must be strong Confirm Password Please confirm password Password mismatch Password must be 8 characters long Please enter a value Register × Login Email Address Please enter email Invalid email Password Please enter password Please enter a value Register Forget Password Login × Forget Password Email Address Please enter email Invalid email Please enter a valid email address Please enter a value Send Email × Reset Password New Password Please enter New Passowrd Confirm New Password Please enter Confirm New Password The New Password and Its Confirm are not the same Please enter a value Reset Password",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-accounts-1,punjab,,,2026-03-21T00:07:21.687161
"Assistant Director (Finance)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Finance) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 2 Employment Status Full Time Role Assistant Director (Finance) Monthly Salary 135,000 - 140,000 Job Posted 19-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 19 Mar Assistant Director (Finance) Job Description Chartered Accountant (CA) / Chartered Management Accountant (CMA) with 2-year relevant experience. Or MBA (Finance), M. Com or equivalent from HEC recognized University with 3 years of relevant experience. Job Responsibilities Collect and compile revenue data from field offices and service centers. Maintain databases and registers related to income, receivables, and budgets. Assist in drafting budget forms, schedules, and financial summaries. Reconcile collections with bank statements and identify variances. Support in filing, documentation, and data entry related to budget and revenue. Assist in day-to-day communication with service centers regarding outstanding dues. Degree Level Masters/Bachelors (Hons) (16 years) Years of Education Degree Area Accounting Business Administration Commerce Accountancy/Chartered Accountancy Important Note Domicile is required for this position. For Getting Domicile at home through flagship initiative of Government of Punjab, Call 1202 or download the Dastak Doorstep Delivery App now! Google Play Store | Apple App Store | Web Portal Apply for this Job View Advertisement Sitemap Home Jobs FAQ's Departmental Contacts Career Center Interview Guides Job Search Guides Career Development Career News Contact Us +92 42 35880062 Ext:1222 jobsonlinesupport@punjab.gov.pk × Register Email Address Please enter email Invalid email Password Please enter password Password must be between 8 and 32 characters long Password must be strong Confirm Password Please confirm password Password mismatch Password must be 8 characters long Please enter a value Register × Login Email Address Please enter email Invalid email Password Please enter password Please enter a value Register Forget Password Login × Forget Password Email Address Please enter email Invalid email Please enter a valid email address Please enter a value Send Email × Reset Password New Password Please enter New Passowrd Confirm New Password Please enter Confirm New Password The New Password and Its Confirm are not the same Please enter a value Reset Password",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-finance-2,punjab,,,2026-03-21T00:07:23.951523
"Assistant Director (Welfare)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Welfare) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 2 Employment Status Full Time Role Assistant Director (Welfare) Monthly Salary 135,000 - 140,000 Job Posted 19-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 19 Mar Assistant Director (Welfare) Job Description Chartered Accountant (CA) / Chartered Management Accountant (CMA) with 2-year relevant experience. Or MBA (Finance), M. Com or equivalent from HEC recognized University with 3 years of relevant experience. Job Responsibilities Assist Deputy Director Welfare Degree Level Masters/Bachelors (Hons) (16 years) Years of Education Degree Area Accounting Business Administration Commerce Accountancy/Chartered Accountancy Important Note Domicile is required for this position. For Getting Domicile at home through flagship initiative of Government of Punjab, Call 1202 or download the Dastak Doorstep Delivery App now! Google Play Store | Apple App Store | Web Portal Apply for this Job View Advertisement Sitemap Home Jobs FAQ's Departmental Contacts Career Center Interview Guides Job Search Guides Career Development Career News Contact Us +92 42 35880062 Ext:1222 jobsonlinesupport@punjab.gov.pk × Register Email Address Please enter email Invalid email Password Please enter password Password must be between 8 and 32 characters long Password must be strong Confirm Password Please confirm password Password mismatch Password must be 8 characters long Please enter a value Register × Login Email Address Please enter email Invalid email Password Please enter password Please enter a value Register Forget Password Login × Forget Password Email Address Please enter email Invalid email Please enter a valid email address Please enter a value Send Email × Reset Password New Password Please enter New Passowrd Confirm New Password Please enter Confirm New Password The New Password and Its Confirm are not the same Please enter a value Reset Password",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-welfare,punjab,,,2026-03-21T00:07:26.259784
"Deputy Director (Governance Risk & Compliance)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Deputy Director (Governance Risk & Compliance) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 1 Employment Status Full Time Role Deputy Director (Governance Risk & Compliance) Monthly Salary 240,000 - 245,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 5 year(s) Gender Both Age 25 - 40 Back to Listings 18 Mar Deputy Director (Governance Risk & Compliance) Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 05 years of post-qualification experience in Information Security Governance, Risk Management, Security Compliance, Security Auditing within large-scale national or international organizations. Prior experience in ISO 27001, CIS controls implementation will be an added advantage. Certification(s) Requirements: Must hold the following valid certification issued by an internationally recognized certification authority: (CISA or CISM or CRISC) and ISO27001-LI/LA with preference given to candidates who holds CISA. Note: (Technical Incentive Allowance Performance Base 150,000-400,000) Job Responsibilities Major Job Responsibilities: Design and implement a comprehensive GRC framework to address organizational governance, risk management, and compliance requirements. Conduct risk assessments to identify, evaluate, and prioritize risks across the organization and develop strategies to mitigate them and maintain risk register. Manage and respond to incidents related to governance, risk, and compliance, including developing incident response plans and conducting investigations. Ensure adherence to relevant laws, regulations, and industry standards, and manage compliance programs effectively. Oversee internal and external audits, coordinate audit activities, and ensure timely and accurate completion of audit requirements. Prepare and present detailed reports on GRC activities, including risk assessments, compliance status, and audit findings, to senior management and stakeholders. Develop, review, and revise security policies, procedures, and standards to align with industry best practices and regulatory requirements. Perform thorough assessments of IT systems, applications, and processes to pinpoint vulnerabilities and areas of non-compliance. Ensure effective communication and enforcement of policies across the organizational entities and other stakeholders. Collaborate closely w",https://jobs.punjab.gov.pk/new_recruit/job_detail/deputy-director-governance-risk-compliance-1,punjab,,,2026-03-21T00:07:28.424110
"Deputy Director (Offensive Security)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Deputy Director (Offensive Security) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 1 Employment Status Full Time Role Deputy Director (Offensive Security) Monthly Salary 240,000 - 245,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 5 year(s) Gender Both Age 25 - 40 Back to Listings 18 Mar Deputy Director (Offensive Security) Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 05 years of post-qualification experience in Vulnerability Management, Offensive Security, Red Teaming, Penetration Testing within large-scale national or international organizations. Certification(s) Requirements: Must hold any valid certification issued by an internationally recognized certification authority: OSCP, LPT, CPET, C|EH, with preference given to candidates who holds OSCP or LPT. Note : (Technical Incentive Allowance Performance Base 150,000-400,000) Job Responsibilities Major Responsibilities: Lead penetration testing across various environments such as networks, operating systems, web applications, APIs, mobile applications, infrastructure, cloud platforms, and devices. Establish a robust in-house penetration testing and red teaming capability by leading and mentoring a team of penetration testers, and experts in application and database security. Proficient in managing secure software development and testing tasks in accordance with industry regulations and frameworks, including OWASP, ISO, NIST, and CIS. Conduct targeted cyber-attacks, including social engineering, phishing, and advanced persistent threats (APTs). Work with IT team members to validate detection and response capabilities and enhance incident response procedures. Conduct red team engagements, simulating realistic and sophisticated attack scenarios to rigorously test security defenses. Develop tools and techniques to automate, scale, and enhance adversary emulation capabilities and vulnerability discovery. Develop exploits and proof-of-concepts (POCs) to bypass defenses and replicate threat actor tactics, techniques, and procedures (TTPs). Coordinate third-party penetration test and red team engagements to ensure the delivery of high-quality products and deliverables. Ensure database security, including access control, encryption, monitoring, vulnerability management, and backup and recovery. Degree Level Masters/Bachel",https://jobs.punjab.gov.pk/new_recruit/job_detail/deputy-director-offensive-security-1,punjab,,,2026-03-21T00:07:30.650914
"Assistant Director (Governance Risk & Compliance)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Governance Risk & Compliance) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 1 Employment Status Full Time Role Assistant Director (Governance Risk & Compliance) Monthly Salary 145,000 - 150,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 18 Mar Assistant Director (Governance Risk & Compliance) Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Information Security Governance, Risk Management, Security Compliance, and Security Auditing within large-scale national or international organizations. Hands-on experience with ISO 27001 will be considered an added advantage. Certification(s) Requirements: Must hold any valid certification issued by an internationally recognized certification authority: CISA, CRISC, ISO27001-LI/LA. with preference given to candidates who hold ISO 27001-LI. Note: (Technical Incentive Allowance Performance Base 100,000-350,000) Job Responsibilities Major Responsibilities: Create and implement a comprehensive GRC framework to address organizational governance, risk management, and compliance needs. Identify, analyze, and prioritize risks, develop risk treatment plans, and maintain a risk register. Manage incidents related to governance, risk, and compliance by developing response plans and conducting investigations. Develop and implement policies, procedures, and controls to ensure compliance with laws, regulations, and industry standards. Assist the organization in adhering to relevant laws, regulations, and industry standards. Support the IS audit team in creating audit plans, conducting audits, preparing reports, communicating findings, and monitoring remediation progress. Foster a culture of security and due diligence among employees and third-party service providers. Stay informed about regulatory changes and evolving IT and information security trends. Work closely with legal teams to remain updated on changes in regulations and industry standards. Develop and deliver comprehensive security awareness training programs to educate employees on security policies, procedures, and best practices. Evaluate the effectiveness of training through simulations, identify areas for improvement, and provide expert recommendations. Demonstrate s",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-governance-risk-compliance-1,punjab,,,2026-03-21T00:07:32.885106
"Assistant Director (Penetration Testing & Red Teaming)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Penetration Testing & Red Teaming) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 1 Employment Status Full Time Role Assistant Director (Penetration Testing & Red Teaming) Monthly Salary 145,000 - 150,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 18 Mar Assistant Director (Penetration Testing & Red Teaming) Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Cyber Security Assessment, Penetration Testing, Red Teaming within large-scale national or international organizations. Certification(s) Requirements: Must hold any valid certification issued by an internationally recognized certification authority: CEH, OSCP, LPT, RTO, PenTest+ with preference given to candidates who hold OSCP Note: (Technical Incentive Allowance Performance Base 100,000-350,000) Degree Level Masters/Bachelors (Hons) (16 years) Years of Education Degree Area Computer Engineering/Sciences Electronics Engineering/Sciences Information Technology Electrical Engineering Software Engineering Required Certification(s) GIAC Penetration Tester (GPEN) Offensive Security Certified Professional (OSCP) Important Note Domicile is required for this position. For Getting Domicile at home through flagship initiative of Government of Punjab, Call 1202 or download the Dastak Doorstep Delivery App now! Google Play Store | Apple App Store | Web Portal Apply for this Job View Advertisement Sitemap Home Jobs FAQ's Departmental Contacts Career Center Interview Guides Job Search Guides Career Development Career News Contact Us +92 42 35880062 Ext:1222 jobsonlinesupport@punjab.gov.pk × Register Email Address Please enter email Invalid email Password Please enter password Password must be between 8 and 32 characters long Password must be strong Confirm Password Please confirm password Password mismatch Password must be 8 characters long Please enter a value Register × Login Email Address Please enter email Invalid email Password Please enter password Please enter a value Register Forget Password Login × Forget Password Email Address Please enter email Invalid email Please enter a valid email address Please enter a value Send Email × Reset Password New Password Please enter New Passowrd Confirm New Password Pleas",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-penetration-testing-red-teaming-1,punjab,,,2026-03-21T00:07:35.179619
"Assistant Director (Application Security Tester)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Application Security Tester) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 2 Employment Status Full Time Role Assistant Director (Application Security Tester) Monthly Salary 145,000 - 150,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 18 Mar Assistant Director (Application Security Tester) Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in penetration testing, web application testing within large-scale national or international organizations. Certification(s) Requirements: Must hold any valid certification issued by an internationally recognized certification authority: CEH, OSCP, LPT, RTO, PenTest+, with preference given to candidates who hold OSCP. Note: (Technical Incentive Allowance Performance Base 100,000 to 350,000) Job Responsibilities Major Jobs Responsibilities: Conduct security assessments of web, API, and mobile applications to identify vulnerabilities and attack vectors. Develop and maintain security testing methodologies and best practices. Utilize static and dynamic testing techniques (SAST & DAST) to evaluate application security. Perform penetration tests to simulate real-world attack scenarios and identify vulnerabilities. Review source code to detect security flaws and vulnerabilities. Analyze security assessment results, prioritizing vulnerabilities based on severity and impact. Collaborate with development teams to provide remediation guidance for vulnerabilities and monitor remediation efforts. Stay updated on the latest security trends, vulnerabilities, and attack techniques for web and mobile applications. Provide security awareness training on secure coding practices and common pitfalls to development teams. Ensure software development adheres to the secure development lifecycle and best practices. Document security assessment findings and recommendations, and oversee remediation activities. Conduct post-remediation security reassessments and document new findings for stakeholders. Degree Level Masters/Bachelors (Hons) (16 years) Years of Education Degree Area Computer Engineering/Sciences Electronics Engineering/Sciences Information Technology Electrical Engineering Software Engineering Required Certification(s) Offensive Security",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-application-security-tester,punjab,,,2026-03-21T00:07:37.689029
"Assistant Director (Security Operations Center)/L2 AnalystPunjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Security Operations Center)/L2 Analyst Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 3 Employment Status Full Time Role Assistant Director (Security Operations Center)/L2 Analyst Monthly Salary 145,000 - 150,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 18 Mar Assistant Director (Security Operations Center)/L2 Analyst Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in information/cyber security with SOC Role (Experience in Network Operations Center (NOC) will not be considered as Security Operations Center (SOC) experience), incident response, threat hunting, threat intelligence, malware research within large-scale national or international organizations. The candidate must have been working as L2/L1 SOC analyst for at least 2 years. Certification(s) Requirements: Must hold any valid certification issued by an internationally recognized certification authority: Security+, CySA+, SSCP, CSA, CHFI, SIEM (Splunk, LogRhythm, QRadar) or similar SOC supported certifications will be preferred. Note: (Technical Incentive Allowance Performance Base 100,000 to 350,000) Job Responsibilities Major Jobs Responsibilities: Monitor, analyze, and respond to escalated security events and incidents from L1 SOC analysts across various security platforms (SIEM, EDR, firewall, IDS/IPS, etc.). Perform deep-dive investigations on suspicious activities using log data, packet captures, endpoint telemetry, and threat intelligence sources. Identify gaps in detection logic and assist in refining SIEM rules, correlation searches, and alert thresholds to improve signal-to-noise ratio. Lead the creation, maintenance, and continuous improvement of incident response playbooks and standard operating procedures (SOPs). Conduct log validation and testing from various data sources (Windows/Linux servers, applications, firewalls, cloud platforms, etc.) to ensure accuracy and completeness of security monitoring. Collaborate with Threat Intelligence, Vulnerability Management, and Security Engineering teams to contextualize threats and improve detection and response posture. Carry out proactive threat hunting using MITRE ATT&CK-based hypotheses to detect advanced threats not captured by existing t",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-security-operations-centerl2-analyst-1,punjab,,,2026-03-21T00:07:40.053019
"Assistant Director (Digital Forensic & Incident Response)Punjab Land Recors Authority - PLRA, PAKISTAN",Government of Punjab,,,,"error: This site need Java Script to work properly. Update your browser to latest version or enabled it. Register Login Member Login Toggle navigation Home Jobs Departmental Contacts FAQ's Assistant Director (Digital Forensic & Incident Response) Punjab Land Recors Authority - PLRA, PAKISTAN Job Details Division Lahore District LAHORE Industry Revenue Project Punjab Land Records Authority - PLRA Total Positions 1 Employment Status Full Time Role Assistant Director (Digital Forensic & Incident Response) Monthly Salary 145,000 - 150,000 Job Posted 18-03-2026 Level N/A Last Date to Apply 03-04-2026 Preferred Candidates Years of Experience: Masters/Bachelors (Hons) (16 years) : 3 year(s) Gender Both Age 24 - 34 Back to Listings 18 Mar Assistant Director (Digital Forensic & Incident Response) Job Description Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Cyber Security, Information Security, Incident Response, Threat Hunting, Digital Forensic, Malware Research within large-scale national or international organizations. Certification(s) Requirements: Must hold any valid certification issued by an internationally recognized certification authority: CHFI, eCDFP, CySA+, SSCP or similar forensic Certification. Note: (Technical Incentive Allowance Performance Base 100,000 to 350,000) Job Responsibilities Major Jobs Responsibilities: Perform digital investigations and incident response activities and report on security incidents as they are escalated or identified Analyze end endpoints, servers, network components found to have possible indicators of compromise Analyze artifacts from security incidents or forensic investigations to identify patterns, create reports with lessons learned, and oversee post-incident activities. Identify security incidents through ‘Hunting’ operations within a SIEM and other relevant tools Interface and communicate with server owners, system custodians, and IT contacts to pursue security incident response activities, including: obtaining access to systems, digital artifact collection, and containment and/or remediation actions. Responsible for working with 3rd parties in order to assist with incident response, security breach, improve overall security, investigations, recommendations and remediation. Maintain, manage, improve and update security incident process and protocol documentation Ensure compliance with relevant cybersecurity regulations, standards, and best practices. Degree Level Masters/Bachelors (Hons) (16 years) Years of Education Degree Area Computer Engineering/Sciences Electronics Engineering/Sciences Information Technology Electrical Engineering Software Engineering Required Certification(s) CHFI_Computer ",https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-digital-forensic-incident-response-1,punjab,,,2026-03-21T00:07:42.487124
